ID	adj.P.Val	P.Value	t	B	logFC	miRNA_ID	SPOT_ID	SPOT_ID.1
A_25_P00015257	0.0029377	1.06E-03	-3.5292	-0.87798	-2.5619	hsa-miR-513b-5p		
A_25_P00012099	0.0029377	1.06E-03	-3.5275	-0.8822	-2.5693	hsa-miR-183-5p		
A_25_P00013115	0.0029377	1.08E-03	-3.5242	-0.891	-2.5826	hsa-let-7a-3p		
A_25_P00014045	0.0029377	1.08E-03	3.5231	-0.8939	3.2721	hsa-miR-425-5p		
A_25_P00017773	0.0029377	1.11E-03	-3.5147	-0.91574	-3.8146	hsa-miR-1238-5p		
A_25_P00015444	0.0029377	1.11E-03	-3.5142	-0.91702	-3.8269	hsa-miR-2278		
A_25_P00012177	0.0029377	1.12E-03	3.5102	-0.92746	2.9342	hsa-miR-140-3p		
A_25_P00014893	0.0029377	1.13E-03	-3.5078	-0.93349	-3.0074	hsa-miR-539-5p		
A_25_P00019080	0.0029377	1.14E-03	-3.5049	-0.9411	-2.6364	hsa-miR-1910-3p		
A_25_P00017301	0.0029377	1.15E-03	-3.5018	-0.94905	-3.0135	hsa-miR-3064-5p		
A_25_P00010869	0.0029377	1.15E-03	-3.4995	-0.95509	-2.6483	hsa-miR-192-5p		
A_25_P00010529	0.0029377	1.17E-03	-3.4938	-0.96988	-3.0217	hsa-miR-206		
A_25_P00015254	0.0029377	1.18E-03	-3.4907	-0.97788	-3.0248	hsa-miR-1306-3p		
A_25_P00018419	0.0029377	1.21E-03	-3.4831	-0.99776	-3.0326	hsa-miR-7113-5p		
A_25_P00011604	0.0029377	1.24E-03	-3.4737	-1.02188	-3.0383	hsa-miR-606		
A_25_P00015509	0.0029377	1.24E-03	-3.4733	-1.02293	-3.9159	hsa-miR-3148		
A_25_P00015648	0.0029377	1.26E-03	-3.4701	-1.03135	-2.2237	hsa-miR-4281		
A_25_P00012419	0.0029377	1.28E-03	3.4646	-1.04552	3.3384	hsa-miR-423-5p		
A_25_P00018054	0.0029377	1.29E-03	-3.46	-1.05745	-3.0558	hsa-miR-6883-5p		
A_25_P00018948	0.0029377	1.34E-03	-3.4469	-1.09121	-3.0689	hsa-miR-6849-5p		
A_25_P00013509	0.0029377	1.37E-03	-3.4394	-1.11051	-2.5252	hsa-miR-26a-2-3p		
A_25_P00013663	0.0029377	1.41E-03	-3.4305	-1.13336	-2.5566	hsa-miR-888-3p		
A_25_P00013231	0.0029377	1.42E-03	-3.4275	-1.14114	-2.5655	hsa-miR-92a-2-5p		
A_25_P00011605	0.0029377	1.43E-03	-3.4247	-1.14826	-2.5731	hsa-miR-558		
A_25_P00015058	0.0029377	1.45E-03	-3.4205	-1.15905	-3.0952	hsa-miR-1180-3p		
A_25_P00012387	0.0029377	1.47E-03	-3.4139	-1.17585	-2.5993	hsa-miR-331-5p		
A_25_P00018899	0.0029377	1.49E-03	-3.4095	-1.18721	-3.1061	hsa-miR-7844-5p		
A_25_P00012963	0.0029377	1.50E-03	-3.4086	-1.18936	-2.6109	hsa-miR-876-5p		
A_25_P00019002	0.0029377	1.52E-03	-3.4039	-1.2015	-2.6207	hsa-miR-6760-5p		
A_25_P00011593	0.0029377	1.53E-03	-3.4007	-1.20978	-2.6272	hsa-miR-554		
A_25_P00019163	0.0029377	1.53E-03	3.3996	-1.21241	2.6828	hsa-miR-4485-5p		
A_25_P00017962	0.0029377	1.58E-03	-3.3886	-1.24062	-2.6499	hsa-miR-6512-5p		
A_25_P00015008	0.0029377	1.59E-03	-3.3876	-1.24308	-3.1278	hsa-miR-1228-5p		
A_25_P00012154	0.0029377	1.64E-03	-3.3759	-1.27292	-4.029	hsa-miR-122-5p		
A_25_P00018920	0.0029377	1.65E-03	3.3743	-1.27696	2.6189	hsa-miR-6870-5p		
A_25_P00018848	0.0029377	1.65E-03	-3.374	-1.27783	-2.6751	hsa-miR-6801-3p		
A_25_P00018018	0.0029377	1.69E-03	-3.3658	-1.2987	-2.6885	hsa-miR-6733-5p		
A_25_P00015035	0.0029377	1.82E-03	3.34	-1.36427	2.7462	hsa-miR-320b		
A_25_P00011069	0.0029377	1.85E-03	3.3332	-1.38132	3.5383	hsa-miR-107		
A_25_P00012142	0.0029377	1.88E-03	3.3269	-1.39741	3.471	hsa-let-7g-5p		
A_25_P00012317	0.0029377	1.96E-03	3.3126	-1.43352	2.5325	hsa-miR-376c-3p		
A_25_P00013445	0.0029377	2.07E-03	-3.2937	-1.48111	-2.5148	hsa-miR-146a-3p		
A_25_P00012251	0.0029377	2.07E-03	-3.2927	-1.48346	-2.517	hsa-miR-188-3p		
A_25_P00013055	0.0029377	2.09E-03	-3.2902	-1.48975	-2.5225	hsa-miR-924		
A_25_P00011636	0.0029377	2.11E-03	-3.2867	-1.49857	-2.5301	hsa-miR-599		
A_25_P00013379	0.0029377	2.13E-03	-3.2838	-1.50581	-2.5361	hsa-miR-27b-5p		
A_25_P00013271	0.0029377	2.14E-03	-3.2812	-1.51231	-2.5414	hsa-miR-16-2-3p		
A_25_P00014896	0.0029377	2.23E-03	3.2669	-1.54818	2.4978	hsa-miR-575		
A_25_P00018222	0.0029377	2.29E-03	-3.2569	-1.57332	-2.1788	hsa-miR-6741-5p		
A_25_P00015156	0.0029377	2.35E-03	-3.2474	-1.59685	-2.6026	hsa-miR-1253		
A_25_P00012748	0.0029377	2.37E-03	-3.2451	-1.60264	-2.6064	hsa-miR-582-3p		
A_25_P00011971	0.0029377	2.37E-03	-3.2447	-1.60367	-2.6071	hsa-miR-668-3p		
A_25_P00012035	0.0029377	2.37E-03	-3.2442	-1.60487	-2.6079	hsa-miR-96-5p		
A_25_P00011633	0.0029377	2.46E-03	-3.2313	-1.63694	-2.6284	hsa-miR-587		
A_25_P00010020	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-329-3p		
A_25_P00010044	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-363-5p		
A_25_P00010063	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-376b-3p		
A_25_P00010092	0.0029377	2.52E-03	-3.2226	-1.65862	-2.1428	hsa-miR-487a-3p		
